ts,current_bytes,peak_bytes
1781156006,2194358272,2566107136
1781156007,2194202624,2566107136
1781156008,2194227200,2566107136
1781156009,2194182144,2566107136
1781156010,2194194432,2566107136
1781156011,2194214912,2566107136
1781156012,2222735360,2566107136
1781156013,2236588032,2566107136
1781156014,2237181952,2566107136
1781156015,2237890560,2566107136
1781156016,2237816832,2566107136
1781156017,2238099456,2566107136
1781156018,2237317120,2566107136
1781156019,2237333504,2566107136
1781156020,2237214720,2566107136
1781156021,2237243392,2566107136
1781156022,2237263872,2566107136
1781156023,2222678016,2566107136
1781156024,2222514176,2566107136
1781156025,2222530560,2566107136
1781156026,2222514176,2566107136
1781156027,2222522368,2566107136
1781156028,2222526464,2566107136
1781156029,2222551040,2566107136
1781156030,2222563328,2566107136
1781156031,2222575616,2566107136
1781156032,2222587904,2566107136
1781156033,2222604288,2566107136
1781156034,2222452736,2566107136
1781156035,2222473216,2566107136
1781156036,2222497792,2566107136
1781156037,2222522368,2566107136
1781156038,2222522368,2566107136
1781156039,2222534656,2566107136
1781156040,2222583808,2566107136
1781156041,2222604288,2566107136
1781156042,2222612480,2566107136
1781156043,2222624768,2566107136
1781156044,2222641152,2566107136
1781156045,2222665728,2566107136
1781156046,2222686208,2566107136
1781156047,2222727168,2566107136
1781156048,2223017984,2566107136
1781156049,2222788608,2566107136
1781156050,2222870528,2566107136
1781156051,2222878720,2566107136
1781156052,2222899200,2566107136
1781156053,2222911488,2566107136
1781156054,2222923776,2566107136
1781156055,2222948352,2566107136
1781156056,2222927872,2566107136
1781156057,2222948352,2566107136
1781156058,2222972928,2566107136
1781156059,2223009792,2566107136
1781156060,2222944256,2566107136
1781156061,2222952448,2566107136
1781156062,2223038464,2566107136
1781156063,2223058944,2566107136
1781156064,2223075328,2566107136
1781156066,2223099904,2566107136
1781156067,2223116288,2566107136
1781156068,2223132672,2566107136
1781156069,2223157248,2566107136
1781156070,2223177728,2566107136
1781156071,2223214592,2566107136
1781156072,2223243264,2566107136
1781156073,2223169536,2566107136
1781156074,2223185920,2566107136
1781156075,2253950976,2566107136
1781156076,2253860864,2566107136
1781156077,2254147584,2566107136
1781156078,2254442496,2566107136
1781156079,2255126528,2566107136
1781156080,2253926400,2566107136
1781156081,2253942784,2566107136
1781156082,2253926400,2566107136
1781156083,2253934592,2566107136
1781156084,2253950976,2566107136
1781156085,2233454592,2566107136
1781156086,2235039744,2566107136
1781156087,2235043840,2566107136
1781156088,2235084800,2566107136
1781156089,2233810944,2566107136
1781156090,2233827328,2566107136
1781156091,2233839616,2566107136
1781156092,2233872384,2566107136
1781156093,2233872384,2566107136
1781156094,2233896960,2566107136
1781156095,2233913344,2566107136
1781156096,2233933824,2566107136
1781156097,2233942016,2566107136
1781156098,2233917440,2566107136
1781156099,2234372096,2566107136
1781156100,2234134528,2566107136
1781156101,2233917440,2566107136
1781156102,2233929728,2566107136
1781156103,2233950208,2566107136
1781156104,2233954304,2566107136
1781156105,2234052608,2566107136
1781156106,2234064896,2566107136
1781156107,2234093568,2566107136
1781156108,2234101760,2566107136
1781156109,2234642432,2566107136
1781156110,2234122240,2566107136
1781156111,2234068992,2566107136
1781156112,2234085376,2566107136
1781156113,2234114048,2566107136
1781156114,2234347520,2566107136
1781156115,2252591104,2566107136
1781156116,2252312576,2566107136
1781156117,2252865536,2566107136
1781156118,2252402688,2566107136
1781156119,2252423168,2566107136
1781156120,2252410880,2566107136
1781156121,2252619776,2566107136
1781156122,2252394496,2566107136
1781156123,2252423168,2566107136
1781156124,2252439552,2566107136
1781156125,2238062592,2566107136
1781156126,2238324736,2566107136
1781156127,2238091264,2566107136
1781156128,2238107648,2566107136
1781156129,2238128128,2566107136
1781156130,2238144512,2566107136
1781156131,2238148608,2566107136
1781156132,2238169088,2566107136
1781156133,2238173184,2566107136
1781156134,2238185472,2566107136
1781156135,2238201856,2566107136
1781156136,2238218240,2566107136
1781156137,2238238720,2566107136
1781156139,2238246912,2566107136
1781156140,2238267392,2566107136
1781156141,2238283776,2566107136
1781156142,2238300160,2566107136
1781156143,2238271488,2566107136
1781156144,2238296064,2566107136
1781156145,2238308352,2566107136
1781156146,2238283776,2566107136
1781156147,2238259200,2566107136
1781156148,2238259200,2566107136
1781156149,2238296064,2566107136
1781156150,2238324736,2566107136
1781156151,2342117376,2566107136
1781156152,2341220352,2566107136
1781156153,2336296960,2566107136
1781156154,2337091584,2566107136
1781156155,2336948224,2566107136
1781156156,2336481280,2566107136
1781156157,2336391168,2566107136
1781156158,2335404032,2566107136
1781156159,2335035392,2566107136
1781156160,2335567872,2566107136
1781156161,2321444864,2566107136
1781156162,2320683008,2566107136
1781156163,2319069184,2566107136
1781156164,2318983168,2566107136
1781156165,2318745600,2566107136
1781156166,2318917632,2566107136
1781156167,2318991360,2566107136
1781156168,2319069184,2566107136
1781156169,2319327232,2566107136
